collected_at,search_id,signature,provider,kind,status,out_date,back_date,from_airport,to_airport,carrier,fare_brand,fare,bag_cost,true_total,stops,dep_local,arr_local,duration_min,bags_included_pp,deep_link
2026-09-06T17:12:27.848Z,A3,2027-08-11|LON>TPA|TPA>LON|2027-08-19,virgin_atlantic,round_trip,no_prices_rendered,2027-08-11,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,british_airways,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,google_flights,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,skyscanner,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A5,2027-08-12|LON>MCO|MCO>LON|2027-08-19,virgin_atlantic,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,british_airways,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,google_flights,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,skyscanner,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,A7,2027-08-12|LON>TPA|TPA>LON|2027-08-19,virgin_atlantic,round_trip,skipped_provider_down,2027-08-12,2027-08-19,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O1,2027-08-11|LON>MCO,british_airways,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O1,2027-08-11|LON>MCO,google_flights,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O1,2027-08-11|LON>MCO,skyscanner,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O1,2027-08-11|LON>MCO,virgin_atlantic,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O2,2027-08-11|LON>TPA,british_airways,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O2,2027-08-11|LON>TPA,google_flights,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O2,2027-08-11|LON>TPA,skyscanner,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O2,2027-08-11|LON>TPA,virgin_atlantic,one_way,skipped_provider_down,2027-08-11,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O3,2027-08-12|LON>MCO,british_airways,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O3,2027-08-12|LON>MCO,google_flights,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O3,2027-08-12|LON>MCO,skyscanner,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O3,2027-08-12|LON>MCO,virgin_atlantic,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O4,2027-08-12|LON>TPA,british_airways,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O4,2027-08-12|LON>TPA,google_flights,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
2026-09-06T17:12:27.848Z,O4,2027-08-12|LON>TPA,skyscanner,one_way,skipped_provider_down,2027-08-12,,,,,,,,,,,,,,
